Epoch 138 | WER 22.96421527 | Loss 10.44483089
Epoch 139 | WER 23.30421715 | Loss 10.46544838
Epoch 140 | WER 23.36432798 | Loss 10.17582893
Epoch 141 | WER 24.41063210 | Loss 10.47304249
Epoch 142 | WER 23.94289471 | Loss 10.10460949
Epoch 143 | WER 25.36113459 | Loss 10.16749477
Epoch 144 | WER 23.91471776 | Loss 10.70979595
Epoch 145 | WER 23.84709308 | Loss 9.87450790
Epoch 146 | WER 23.61792054 | Loss 9.73339367
Epoch 147 | WER 23.33427257 | Loss 9.62947083
Epoch 148 | WER 24.97604959 | Loss 9.85489464
Epoch 149 | WER 24.23405654 | Loss 9.73321342
Epoch 150 | WER 25.68235184 | Loss 9.89178944
Epoch 151 | WER 24.42753827 | Loss 10.84062672
Epoch 152 | WER 25.38179769 | Loss 9.69839478
Epoch 153 | WER 25.30478069 | Loss 9.66752720
Epoch 154 | WER 23.26664788 | Loss 9.37980366
Epoch 155 | WER 24.89715413 | Loss 9.38690186
Epoch 156 | WER 24.74124166 | Loss 9.38440132
Epoch 157 | WER 23.99361322 | Loss 9.31295681
Epoch 158 | WER 24.63980464 | Loss 9.43896961
Epoch 159 | WER 24.70179393 | Loss 9.97731590
Epoch 160 | WER 24.34300742 | Loss 9.11044121
Epoch 161 | WER 25.28411759 | Loss 9.00293064
Epoch 162 | WER 24.85770640 | Loss 9.16294575
Epoch 163 | WER 25.21837137 | Loss 9.03301716
Epoch 164 | WER 25.05870198 | Loss 8.96666336
Epoch 165 | WER 24.89151874 | Loss 8.94975185
Epoch 166 | WER 24.12134874 | Loss 8.84546661
Epoch 167 | WER 26.14633230 | Loss 9.10463905
Epoch 168 | WER 25.29163145 | Loss 8.98289299
Epoch 169 | WER 25.22964215 | Loss 8.70447254
Epoch 170 | WER 25.00234808 | Loss 8.71154594
Epoch 171 | WER 24.96853574 | Loss 8.50340271
Epoch 172 | WER 26.21020006 | Loss 8.70644855
Epoch 173 | WER 24.92533108 | Loss 8.93854237
Epoch 174 | WER 25.87583357 | Loss 8.58196831
Epoch 175 | WER 25.40433925 | Loss 8.54603386
Epoch 176 | WER 24.82389405 | Loss 8.42398643
Epoch 177 | WER 25.73119189 | Loss 8.37923622
Epoch 178 | WER 26.45815723 | Loss 8.30455017
Epoch 179 | WER 25.21273598 | Loss 8.55797863
Epoch 180 | WER 25.44942237 | Loss 8.50665951
Epoch 181 | WER 25.10754203 | Loss 8.33232975
Epoch 182 | WER 25.68610876 | Loss 8.34077168
Epoch 183 | WER 25.45317930 | Loss 8.16717911
Epoch 184 | WER 25.89837513 | Loss 8.33628273
Epoch 185 | WER 25.22024984 | Loss 8.02884483
Epoch 186 | WER 26.74180520 | Loss 8.04637146
Epoch 187 | WER 26.93340847 | Loss 8.22359943
Epoch 188 | WER 25.29350991 | Loss 8.05770588
Epoch 189 | WER 26.41495257 | Loss 7.96198511
Epoch 190 | WER 25.60345637 | Loss 8.20348167
Epoch 191 | WER 25.65605335 | Loss 8.15659332
Epoch 192 | WER 25.56025171 | Loss 8.00362968
Epoch 193 | WER 27.33164272 | Loss 8.03458500
Epoch 194 | WER 26.13881845 | Loss 8.07649803
Epoch 195 | WER 26.44125106 | Loss 8.11930943
Epoch 196 | WER 25.82323659 | Loss 7.82165146
Epoch 197 | WER 25.31980840 | Loss 7.62315273
Epoch 198 | WER 26.15572462 | Loss 7.70149517
Epoch 199 | WER 25.92091669 | Loss 7.61125755
Epoch 200 | WER 25.70113647 | Loss 7.88062954
Epoch 201 | WER 25.88522589 | Loss 7.69184113
Epoch 202 | WER 25.85704893 | Loss 7.74905920
Epoch 203 | WER 25.86268432 | Loss 7.72759533
Epoch 204 | WER 27.19263642 | Loss 7.57008743
Epoch 205 | WER 26.71738518 | Loss 7.65621805
Epoch 206 | WER 25.97727059 | Loss 7.88447142
Epoch 207 | WER 27.79938011 | Loss 7.93382263
Epoch 208 | WER 26.91086691 | Loss 7.70719337
Epoch 209 | WER 25.64478257 | Loss 7.61799288
Epoch 210 | WER 26.40931718 | Loss 7.49048185
Epoch 211 | WER 26.22710623 | Loss 7.77347898
Epoch 212 | WER 26.32854325 | Loss 7.59630680
Epoch 213 | WER 26.68357284 | Loss 7.53736496
Epoch 214 | WER 26.42622335 | Loss 7.60869932
Epoch 215 | WER 26.13881845 | Loss 7.63021040
Epoch 216 | WER 26.12942613 | Loss 7.53826475
Epoch 217 | WER 25.91903823 | Loss 7.51635647
Epoch 218 | WER 27.94026486 | Loss 7.64106274
Epoch 219 | WER 27.08368555 | Loss 7.49643517
Epoch 220 | WER 26.04489528 | Loss 7.43633318
Epoch 221 | WER 26.79815911 | Loss 7.69096708
Epoch 222 | WER 26.41495257 | Loss 7.38110542
Epoch 223 | WER 26.23462008 | Loss 7.45680189
Epoch 224 | WER 27.48191979 | Loss 7.58018494
